"","age","urban","college","cotPension","cuentaPropia","depto","directorio","dsi","estrato","formal","inac","ingtot","hoursWorkUsual","maxEducLevel","oficio","orden","salud","seguridadsocial","sex","microEmpresa","sizeFirm","y_salary_m","y_salary_m_hu","sub.alimentacion","sub.transporte","sub.familiar","sub.educativo","log_y_salary_h","log_y_salary_m"
"9746",20,1,1,1,0,11,4685139,0,3,1,0,1167377.66666667,48,6,39,1,1,1,1,0,5,1e+06,4861.111328125,2,1,2,2,8.4890223590924,13.8155105579643
"9747",23,1,0,1,0,11,4685140,0,2,1,0,1508333.33333333,48,7,32,4,1,1,0,0,5,1400000,6805.5556640625,2,1,2,2,8.82549456701463,14.1519827945855
"9748",23,1,0,1,0,11,4685142,0,3,1,0,886119.666666667,48,7,19,4,1,1,1,0,4,781242,3797.7041015625,2,1,2,2,8.24215197932255,13.5686402399803
"9749",49,1,0,2,0,11,4685142,0,3,0,0,897536.333333333,54,5,98,1,2,1,1,1,2,781242,3375.73706054688,2,1,2,2,8.12436896777356,13.5686402399803
"9750",45,1,0,2,0,11,4685142,0,3,0,0,50000,23,5,45,2,1,1,0,1,2,50000,507.246368408203,2,2,2,2,6.22899681930761,10.8197782844103
"9751",27,1,0,1,0,11,4685142,0,3,1,0,1000711,48,7,3,3,1,1,1,0,5,850000,4131.9443359375,2,1,2,2,8.32650335869126,13.6529916284665
"9752",26,1,0,1,0,11,4685142,0,3,1,0,947377.666666667,40,7,3,4,1,1,1,0,5,830000,4841.66650390625,2,1,2,2,8.48501425943539,13.6291809797728
"9753",56,1,0,1,0,11,4685143,0,3,1,0,3e+06,40,4,45,1,1,1,1,1,2,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9754",34,1,0,2,0,11,4685143,0,3,0,0,1e+06,60,7,77,2,1,1,0,1,2,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9755",41,1,1,2,0,11,4685144,0,3,0,0,2e+06,48,6,77,1,2,1,1,1,2,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9756",41,1,1,1,0,11,4685144,0,3,1,0,900453,48,6,33,2,1,1,0,0,5,781242,3797.7041015625,2,1,1,2,8.24215197932255,13.5686402399803
"9757",24,1,0,1,0,11,4685144,0,3,1,0,1828333.33333333,40,7,13,3,1,1,0,0,5,1550000,9041.6669921875,2,2,2,2,9.10959883817695,14.2537654888954
"9758",43,1,0,2,0,11,4685145,0,3,0,0,7e+05,48,7,85,1,1,1,1,1,2,7e+05,3402.77783203125,2,2,2,2,8.13234738645469,13.4588356140255
"9759",40,1,0,1,0,11,4685145,0,3,1,0,1465711,48,7,19,2,1,1,0,0,5,1170000,5687.5,2,1,2,2,8.6460260632592,13.9725143067739
"9760",21,1,0,1,0,11,4685146,0,3,1,0,1753211,48,7,41,1,1,1,1,0,5,1500000,7291.66650390625,2,1,2,2,8.89448740023628,14.2209756660724
"9761",19,1,0,2,0,11,4685146,0,3,0,0,869453,48,7,39,3,1,1,0,0,5,781242,3797.7041015625,2,1,2,2,8.24215197932255,13.5686402399803
"9762",53,1,1,1,0,11,4685148,0,3,1,0,1444877.66666667,48,6,97,1,1,1,1,0,5,9e+05,4375,2,1,2,2,8.38366179879172,13.7101500423064
"9763",42,1,0,1,0,11,4685150,0,3,1,0,1636277.66666667,48,7,39,1,1,1,1,0,5,1400000,6805.5556640625,2,1,1,2,8.82549456701463,14.1519827945855
"9764",39,1,0,1,0,11,4685150,0,3,1,0,1163353,48,5,53,2,1,1,0,0,5,781242,3797.7041015625,2,1,1,2,8.24215197932255,13.5686402399803
"9765",29,1,0,1,0,11,4685151,0,2,1,0,1272666.66666667,40,7,39,2,1,1,1,0,5,1200000,7000,2,1,1,2,8.85366542803745,13.9978321147582
"9766",60,1,0,2,1,11,4685152,0,2,0,0,6e+05,60,3,87,1,1,3,1,1,2,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9767",56,1,0,2,1,11,4685152,0,2,0,0,2e+05,16,3,45,2,1,3,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9768",21,1,1,2,0,11,4685152,0,2,0,0,760000,60,6,99,3,1,3,1,1,2,760000,2955.5556640625,2,2,2,2,7.99144195414645,13.5410737122625
"9769",44,1,0,2,1,11,4685153,0,3,0,0,6e+05,45,5,41,1,1,1,1,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9770",45,1,0,1,0,11,4685153,0,3,1,0,1800000,10,5,41,2,1,1,0,1,2,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
