"","age","urban","college","cotPension","cuentaPropia","depto","directorio","dsi","estrato","formal","inac","ingtot","hoursWorkUsual","maxEducLevel","oficio","orden","salud","seguridadsocial","sex","microEmpresa","sizeFirm","y_salary_m","y_salary_m_hu","sub.alimentacion","sub.transporte","sub.familiar","sub.educativo","log_y_salary_h","log_y_salary_m"
"1335",44,1,0,1,0,11,4554580,0,6,1,0,5816666.66666667,36,7,6,1,1,1,0,0,5,5e+06,32407.408203125,2,2,2,2,10.386142323889,15.4249484703984
"1336",33,1,0,1,0,11,4554583,0,6,1,0,17333333.3333333,40,7,21,2,1,1,0,0,5,1.4e+07,81666.6640625,2,2,2,2,11.310401168971,16.4545678875795
"1337",37,1,0,1,0,11,4554583,0,6,1,0,7583333.33333333,40,7,21,1,1,1,1,0,5,7e+06,40833.33203125,2,2,2,2,10.6172539884111,15.7614207070196
"1338",51,1,0,1,0,11,4554585,0,4,1,0,2e+06,30,7,13,2,1,1,0,0,4,2e+06,15555.5556640625,2,2,2,2,9.65217313123067,14.5086577385242
"1339",57,1,0,1,0,11,4554585,0,4,1,0,1562500,45,7,2,1,1,1,1,0,3,1500000,7777.77783203125,2,2,2,2,8.95902595067072,14.2209756660724
"1340",24,1,0,1,0,11,4554586,0,2,1,0,1300000,48,7,39,2,1,1,0,0,4,1200000,5833.33349609375,2,1,2,2,8.67134389914528,13.9978321147582
"1341",46,1,0,1,0,11,4554586,0,2,1,0,936119.666666667,35,3,54,1,1,1,0,1,1,869453,5796.353515625,2,1,2,2,8.66498429461456,13.6756195572614
"1342",26,1,1,1,0,11,4554586,0,2,1,0,1185000,45,6,38,3,1,1,0,0,5,960000,4977.77783203125,2,1,2,2,8.51273885196599,13.774688563444
"1343",30,1,0,1,0,11,4554588,0,6,1,0,9700000,30,7,21,1,1,1,0,0,5,5200000,40444.4453125,2,2,2,2,10.6076845907456,15.4641691835517
"1344",52,1,1,1,0,11,4554599,0,3,1,0,1655333.33333333,40,6,3,1,1,1,1,0,5,1528000,8913.3330078125,2,1,2,2,9.09530352546716,14.2394702487086
"1345",60,1,0,1,0,11,4556899,0,3,1,0,975000,48,4,58,1,1,1,1,0,5,9e+05,4375,2,1,2,2,8.38366179879172,13.7101500423064
"1346",34,1,0,1,0,11,4556899,0,3,1,0,1809166.66666667,42,7,21,3,1,1,0,0,5,1670000,9277.77734375,2,2,2,2,9.13537728672129,14.3283341843929
"1347",32,1,0,1,0,11,4556900,0,3,1,0,3450000,50,7,45,2,1,1,0,0,4,3e+06,14000,2,1,2,2,9.5468126085974,14.9141228466324
"1348",45,1,0,1,0,11,4556901,0,3,1,0,1475833.33333333,45,7,33,1,1,1,0,0,5,1210000,6274.07421875,2,1,2,2,8.74418121825509,14.0061309175729
"1349",35,1,0,1,0,11,4556902,0,2,1,0,1270929.41666667,48,7,19,1,1,1,1,0,4,781242,3797.7041015625,2,1,1,2,8.24215197932255,13.5686402399803
"1350",36,1,0,1,0,11,4556902,0,2,1,0,1187596.41666667,48,7,21,2,1,1,0,0,4,781242,3797.7041015625,2,1,1,2,8.24215197932255,13.5686402399803
"1351",41,1,0,1,0,11,4559810,0,3,1,0,3367583.33333333,30,7,13,2,1,2,0,0,5,2997000,23310,2,2,2,2,10.0566377320298,14.9131223462988
